,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
232,Lagos,40,NG,2017-09-08 22:00:00,94,6.45,3.4,75.2,3.36
233,Laguna,1,US,2017-09-08 22:40:00,72,38.42,-121.42,73.4,5.82
234,Lamu,88,KE,2017-09-08 22:55:24,85,-2.27,40.9,77.63,14.25
235,Lapeer,1,US,2017-09-08 22:15:00,93,43.05,-83.32,51.8,3.62
236,Lauria,88,IT,2017-09-08 22:55:24,100,40.05,15.84,59.9,1.72
237,Lebrija,0,ES,2017-09-08 22:30:00,63,36.92,-6.08,68.0,2.24
238,Lebu,8,CL,2017-09-08 22:55:25,100,-37.62,-73.65,49.01,24.2
239,Leshukonskoye,88,RU,2017-09-08 22:55:26,66,64.9,45.76,47.21,9.33
240,Liepaja,92,LV,2017-09-08 22:20:00,93,56.52,21.02,59.0,8.05
241,Loandjili,90,CG,2017-09-08 22:00:00,88,-4.76,11.86,73.4,2.24
242,Lodja,92,CD,2017-09-08 22:55:27,99,-3.48,23.43,69.35,2.28
243,Longyearbyen,90,SJ,2017-09-08 21:50:00,100,78.22,15.64,37.4,4.7
244,Las Minas,92,PA,2017-09-08 22:55:28,96,7.8,-80.75,74.75,3.4
245,Lowicz,0,PL,2017-09-08 22:30:00,76,52.11,19.95,55.4,3.36
246,Lubango,0,AO,2017-09-08 22:55:20,60,-14.92,13.49,61.25,3.74
247,Lucapa,0,AO,2017-09-08 22:55:29,89,-8.42,20.74,70.25,0.94
248,Luderitz,0,NA,2017-09-08 22:00:00,87,-26.65,15.16,51.8,4.7
249,Lugazi,20,UG,2017-09-08 22:00:00,94,0.38,32.92,68.0,3.36
250,Luz,0,BR,2017-09-08 22:55:35,87,-19.8,-45.69,57.2,9.44
251,Lyuban,8,BY,2017-09-08 22:55:35,87,52.8,28.0,57.56,10.78
252,Machiques,92,VE,2017-09-08 22:55:36,99,10.06,-72.55,66.56,3.62
253,Madaoua,76,NE,2017-09-08 22:55:36,94,14.07,5.96,70.88,3.96
254,Mahebourg,20,MU,2017-09-08 22:00:00,64,-20.41,57.7,75.2,17.22
255,Mao,40,ES,2017-09-08 22:30:00,83,39.89,4.27,73.4,10.29
256,Makariv,0,UA,2017-09-08 22:30:00,93,50.46,29.81,55.4,4.47
257,Malanje,20,AO,2017-09-08 22:55:37,95,-9.54,16.34,63.05,3.62
258,Maloy,12,NO,2017-09-08 22:20:00,71,61.94,5.11,53.6,6.93
259,Mamallapuram,40,IN,2017-09-08 22:30:00,70,12.63,80.17,89.6,5.82
260,Manga,48,BF,2017-09-08 22:55:38,89,11.66,-1.07,75.83,6.87
261,Mangrol,12,IN,2017-09-08 22:55:39,76,21.12,70.12,85.28,10.45
262,Manicore,32,BR,2017-09-08 22:55:39,86,-5.81,-61.3,77.45,2.06
263,Maputo,75,MZ,2017-09-08 22:00:00,100,-25.97,32.59,68.0,2.24
264,Mar del Plata,92,AR,2017-09-08 22:53:48,99,-38.0,-57.56,51.62,10.56
265,Maraa,20,BR,2017-09-08 22:55:40,97,-1.83,-65.37,70.61,2.95
266,Maralal,0,KE,2017-09-08 22:55:40,88,1.1,36.7,64.67,3.62
267,San Juan,88,PE,2017-09-08 22:55:41,100,-15.37,-75.16,56.93,12.24
268,Margate,0,GB,2017-09-08 22:20:00,81,51.38,1.39,51.8,4.7
269,Mariakani,92,KE,2017-09-08 22:55:41,82,-3.86,39.47,74.93,11.56
270,Marienburg,20,SR,2017-09-08 22:00:00,83,5.85,-55.02,77.0,4.7
271,Marmande,0,FR,2017-09-08 22:30:00,93,44.5,0.17,60.8,5.82
272,Matagami,1,CA,2017-09-08 22:00:00,100,49.75,-77.63,37.4,3.36
273,Matara,92,LK,2017-09-08 22:55:43,100,5.95,80.54,74.93,11.68
274,Mayenne,92,FR,2017-09-08 22:55:43,99,48.3,-0.62,53.15,8.88
275,Mehamn,12,NO,2017-09-08 22:53:39,80,71.04,27.85,46.76,17.05
276,Menongue,0,AO,2017-09-08 22:55:44,29,-14.66,17.69,62.6,4.85
277,Mercedes,92,AR,2017-09-08 22:55:44,94,-34.65,-59.43,58.64,11.45
278,Meulaboh,92,ID,2017-09-08 22:55:44,100,4.14,96.13,82.31,3.74
279,Micheweni,68,TZ,2017-09-08 22:55:45,100,-4.97,39.83,76.73,14.92
280,Middelkerke,75,BE,2017-09-08 22:30:00,87,51.16,2.84,53.6,5.82
281,Millinocket,75,US,2017-09-08 21:56:00,93,45.66,-68.71,55.4,3.36
282,Mineros,0,BO,2017-09-08 22:00:00,69,-17.12,-63.23,78.8,18.34
283,Miraflores,92,CO,2017-09-08 22:55:46,99,1.34,-71.95,70.7,2.17
284,Xarqueada,88,BR,2017-09-08 22:55:46,35,-9.49,-48.36,86.0,6.98
